,ML,DV,AP,rValue,pValue
0,7040,4560,8860,-0.153824412500738,3.0039314823e-314
1,7040,4560,8860,-0.2046285805237515,0.0
2,7040,4540,8860,0.16364120405315327,0.0
3,7040,4520,8860,0.5000681638758671,0.0
4,7040,4520,8860,0.5312627350690041,0.0
5,7040,4480,8860,-0.01632318444971768,6.39707007703387e-05
6,7040,4480,8860,-0.0047749415067325504,0.24226430814805425
7,7060,4460,8860,0.11416401749628846,4.055361812004526e-173
8,7060,4440,8860,-0.1199973374253798,3.554481605757099e-191
9,7060,4420,8860,0.533210377151129,0.0
